Lote,Empresa,Prefixo,Placa,Tecnologia,Ano Modelo,fase_conama,NOx(kg poluentes/kg diesel),MP(kg poluentes/kg diesel)
D8 ,Movebuss,55348 ,FSO6606 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D5 ,Pêssego,47388 ,FFN3644 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D5 ,Pêssego,47392 ,FCB5672 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D8 ,Movebuss,55025 ,EZL6071 ,Midiônibus ,2012,P7,0.006575,5.5e-05
AR0 ,Ambiental,41807 ,EZL7I98 ,Padron ,2012,P7,0.006575,5.5e-05
D8 ,Movebuss,55434 ,FCB6118 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D5 ,Pêssego,47544 ,EZL7228 ,Midiônibus ,2012,P7,0.006575,5.5e-05
AR0 ,Ambiental,41806 ,EZL7897 ,Padron ,2012,P7,0.006575,5.5e-05
D3 ,Transunião ,36540 ,EMU1E04 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D8 ,Movebuss,55043 ,FCB6H96 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D8 ,Movebuss,55450 ,FCB1I70 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D4 ,Alfa Rodobus SPE,35734 ,FJA5984 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D4 ,Alfa Rodobus SPE,35850 ,FCB1378 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D8 ,Movebuss,55460 ,FCB9I94 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D5 ,Pêssego,47573 ,FCB6754 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D8 ,Movebuss,55474 ,FCB9911 ,Midiônibus ,2012,P7,0.006575,5.5e-05
AR0 ,Ambiental,41805 ,EZL7896 ,Padron ,2012,P7,0.006575,5.5e-05
AR0 ,Ambiental,41804 ,EZL7895 ,Padron ,2012,P7,0.006575,5.5e-05
D3 ,Transunião ,36525 ,FQI6C90 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D5 ,Pêssego,47337 ,FCB0814 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D5 ,Pêssego,47311 ,FCB9I86 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D5 ,Pêssego,47309 ,EZL2D14 ,Midiônibus ,2012,P7,0.006575,5.5e-05
AR0 ,Ambiental,41814 ,EZL7907 ,Padron ,2012,P7,0.006575,5.5e-05
AR0 ,Ambiental,41813 ,EZL7906 ,Padron ,2012,P7,0.006575,5.5e-05
AR0 ,Ambiental,41812 ,EZL7905 ,Padron ,2012,P7,0.006575,5.5e-05
D5 ,Pêssego,47210 ,EZL1E44 ,Midiônibus ,2012,P7,0.006575,5.5e-05
AR0 ,Ambiental,41811 ,EZL7904 ,Padron ,2012,P7,0.006575,5.5e-05
AR0 ,Ambiental,41810 ,EZL1405 ,Padron ,2012,P7,0.006575,5.5e-05
D8 ,Movebuss,55406 ,FCB6781 ,Midiônibus ,2012,P7,0.006575,5.5e-05
D4 ,Alfa Rodobus SPE,35979 ,FJA5982 ,Midiônibus ,2012,P7,0.006575,5.5e-05
